month,M1_mio_PLN,M2_mio_PLN,M3_mio_PLN,Wheat_prices_index_MoM,cattle_prices_index_MoM,milk_prices_index_MoM,pigs_price_index_MoM,food_and_beverages_price_index_MoM,alcohol_and_tobacco_products_price_index_MoM,clothes_and_shoes_price_index_MoM,education_goods_and_services_price_index_MoM,communications_goods_and_services_price_index_MoM,consumer_price_index_MoM,core_inflation_net_of_administered_prices_excluded_MoM,core_inflation_net_of_most_volatile_prices_MoM,core_inflation_net_of_food_and_energy_prices_MoM,core_inflation_15pct_trimmed_mean_MoM,total_deposits_mln_PLN,total_overnight_deposits_mln_PLN,total_term_deposits_mln_PLN,total_accrued_interest_on_deposits_mln_PLN,total_consumption_loans_mln_PLN,total_loans_for_purchase_of_property_mln_PLN,total_loans_to_households_mln_PLN,total_official_reserve_assets_mln_PLN,monetary_gold_mln_PLN,other_reserve_assets_mln_PLN,registered_unemployed_in_thousands,rate_of_unemployment,average_monthly_salary_in_private_sector_PLN,rail_transport_mln_ton-km,new_flats_added,current_account_mln_PLN,capital_account_mln_PLN,financial_account_mln_PLN
12/1996,67865.981,140038.726,140428.842,.,.,.,.,.,.,.,.,.,.,.,.,.,.,82856.188,22499.342,60356.846,4240.225,10393.771,1072.598,20846.429,.,.,.,.,.,.,.,.,.,.,.
01/1997,63663.038,138755.527,139333.859,.,.,.,.,.,.,.,.,.,.,.,.,.,.,84085.048,21745.87,62339.178,4266.629,10597.054,1101.448,21376.449,.,.,.,.,.,.,.,.,.,.,.
02/1997,63625.743,141142.528,141692.194,.,.,.,.,.,.,.,.,.,.,.,.,.,.,86229.174,22070.37,64158.804,4495.383,10948.873,1101.636,22409.569,.,.,.,.,.,.,.,.,.,.,.
03/1997,65497.841,144080.767,144931.64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,88546.491,23269.903,65276.588,4436.058,11425.067,1118.919,23483.473,.,.,.,.,.,.,.,.,.,.,.
04/1997,66635.334,147471.792,148012.796,.,.,.,.,.,.,.,.,.,.,.,.,.,.,90512.648,23650.222,66862.427,4599.792,11986.457,1168.219,24796.755,.,.,.,.,.,.,.,.,.,.,.
05/1997,69033.245,151110.561,151700.624,.,.,.,.,.,.,.,.,.,.,.,.,.,.,92759.037,24531.54,68227.498,4866.253,12468.484,1205.93,25549.631,.,.,.,.,.,.,.,.,.,.,.
06/1997,71672.27,154073.607,154747.644,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95310.094,25562.627,69747.467,4803.38,13213.92,1280.81,26842.889,.,.,.,.,.,.,.,.,.,.,.
07/1997,74386.614,160056.307,160454.227,.,.,.,.,.,.,.,.,.,.,.,.,.,.,98589.378,26570.669,72018.709,5003.468,13675.912,1360.932,27666.591,.,.,.,.,.,.,.,.,.,.,.
08/1997,74328.588,162082.221,162408.515,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100423.341,26736.498,73686.843,5261.489,14089.155,1427.944,28397.233,.,.,.,.,.,.,.,.,.,.,.
09/1997,74658.295,164710.229,165037.037,.,.,.,.,.,.,.,.,.,.,.,.,.,.,101450.804,26737.037,74713.767,5161.714,14524.677,1503.996,29106.596,.,.,.,.,.,.,.,.,.,.,.
10/1997,74854.523,169848.847,170176.525,.,.,.,.,.,.,.,.,.,.,.,.,.,.,103362.451,26709.676,76652.776,5354.264,15093.247,1588.264,29990.917,.,.,.,.,.,.,.,.,.,.,.
11/1997,75283.856,173093.794,173413.432,.,.,.,.,.,.,.,.,.,.,.,.,.,.,104545.184,26254.483,78290.702,5690.057,15372.804,1716.732,30549.352,.,.,.,.,.,.,.,.,.,.,.
12/1997,79239.771,179378.106,179602.375,.,.,.,.,.,.,.,.,.,.,.,.,.,.,108466.377,28101.913,80364.463,5188.076,16122.486,1826.418,31243.958,.,.,.,.,.,.,.,.,.,.,.
01/1998,73597.477,177942.578,178239.645,.,.,.,.,.,.,.,.,.,.,.,.,.,.,110486.07,27270.549,83215.521,5362.557,16025.93,1893.365,31435.858,78247.1,979.8,76878.7,.,.,.,.,.,.,.,.
02/1998,74417.048,180545.239,180850.493,.,.,.,.,.,.,.,.,.,.,.,.,.,.,113062.584,27886.015,85176.569,5624.4,15937.725,1947.088,31642.198,84467.8,938.9,83148.1,.,.,.,.,.,.,.,.
03/1998,75621.692,182904.341,183236.33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,114904.556,28261.198,86643.358,5571.284,16168.439,2019.42,32473.838,84145,941.7,82827.2,.,.,.,.,.,.,.,.
04/1998,75681.04,185780.882,185907.545,.,.,.,.,.,.,.,.,.,.,.,.,.,.,116596.481,28229.514,88366.967,5757.729,16460.019,2100.586,33197.886,88086,957.8,86756,.,.,.,.,.,.,.,.
05/1998,78728.635,190926.763,191080.216,.,.,.,.,.,.,.,.,.,.,.,.,.,.,119427.885,28862.112,90565.773,6130.587,16837.206,2178.643,33896.629,91686.2,929.3,90377.8,.,.,.,.,.,.,.,.
06/1998,81843.521,195272.472,195388.128,.,.,.,.,.,.,.,.,.,.,.,.,.,.,122550.594,29854.089,92696.505,5968.032,17335.738,2279.187,34666.164,94448.2,3409,90661.4,.,.,.,.,.,.,.,.
07/1998,82275.541,199468.249,199705.234,.,.,.,.,.,.,.,.,.,.,.,.,.,.,125706.766,30164.375,95542.391,6099.758,17909.331,2388.822,35490.404,101460.2,3277.5,97808.2,.,.,.,.,.,.,.,.
08/1998,84113.457,204921.487,205133.564,.,.,.,.,.,.,.,.,.,.,.,.,.,.,130392.926,30824.007,99568.918,6398.188,18329.385,2516.632,36318.531,110403.3,3376.8,106620.5,.,.,.,.,.,.,.,.
09/1998,84554.125,206446.635,206639.411,.,.,.,.,.,.,.,.,.,.,.,.,.,.,132042.179,30858.339,101183.84,6231.946,18843.55,2628.535,37101.04,100586.6,3473.6,96709.7,.,.,.,.,.,.,.,.
10/1998,83240.441,207413.34,207605.358,.,.,.,.,.,.,.,.,.,.,.,.,.,.,132906.921,30700.76,102206.161,6426.728,19791.452,2733.022,38270.957,98269.4,3326.7,94544.9,.,.,.,.,.,.,.,.
11/1998,84619.635,210561.453,210741.97,.,.,.,.,.,.,.,.,.,.,.,.,.,.,134963.015,30587.223,104375.792,6644.367,19628.25,2830.722,38378.455,99954.4,3396.5,96160.7,.,.,.,.,.,.,.,.
12/1998,89919.451,223678.101,223913.444,.,.,.,.,.,.,.,.,.,.,.,.,.,.,141247.457,33666.205,107581.252,5942.603,20127.568,3004.82,38988.046,99075.7,3328.6,95342.1,.,.,.,.,.,.,.,.
01/1999,88635.787,226255.598,226342.697,.,.,.,.,.,.,.,.,.,.,.,.,.,.,144643.743,33322.13,111321.613,5941.313,20210.086,3034.325,39395.461,107713.4,3451.4,103844.5,.,.,.,.,.,.,.,.
02/1999,91943.176,233296.783,233423.836,.,.,.,.,.,.,.,.,.,.,.,.,.,.,148326.821,34646.203,113680.618,5824.729,20458.425,3144.325,40285.077,118137.1,3738.6,113444.6,.,.,.,.,.,.,.,.
03/1999,95283.259,236660.45,236748.518,.,.,.,.,.,.,.,.,.,.,.,.,.,.,150672.424,36404.221,114268.203,5445.718,21036.153,3282.285,41479.474,114724.8,3704.4,110054.7,.,.,.,.,.,.,.,.
04/1999,93989.025,236676.311,236784.415,.,.,.,.,.,.,.,.,.,.,.,.,.,.,151058.657,36773.604,114285.054,5266.414,21723.137,3399.64,42653.716,112434.2,3745.5,107740,.,.,.,.,.,.,.,.
05/1999,97092.188,239913.167,240024.54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,152023.309,37476.272,114547.037,5330.687,22464.677,3598.649,44005.577,111316.8,3525.5,106841.3,.,.,.,.,.,.,.,.
06/1999,99567.895,242376.978,242631.183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,153502.647,38832.014,114670.633,5070.881,23462.257,3892.556,45364.996,107611.4,3390.8,103286.2,.,.,.,.,.,.,.,.
07/1999,100034.563,244091.159,244209.856,.,.,.,.,.,.,.,.,.,.,.,.,.,.,155290.942,39863.153,115427.788,4954.75,24509.77,4122.404,46842.669,110954.6,3261.2,106752.9,.,.,.,.,.,.,.,.
08/1999,101550.204,247353.256,247529.651,.,.,.,.,.,.,.,.,.,.,.,.,.,.,156973.966,40117.719,116856.248,5035.817,25531.141,4440.015,48470.887,114498.3,3352.8,110166.1,.,.,.,.,.,.,.,.
09/1999,103055.157,252022.439,252147.876,.,.,.,.,.,.,.,.,.,.,.,.,.,.,159412.263,40496.481,118915.782,4945.438,26469.202,4883.239,49871.257,114752.4,4066.3,109655.6,.,.,.,.,.,.,.,.
10/1999,106451.16,256819.715,256956.11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,161121.299,40787.068,120334.231,5058.782,27333.74,5242.256,51406.65,115645.6,4155.7,110448.3,.,.,.,.,.,.,.,.
11/1999,105637.032,261352.729,261500.752,.,.,.,.,.,.,.,.,.,.,.,.,.,.,162031.673,40971.053,121060.62,5167.445,28525.323,5535.331,53188.878,116174.1,4132.1,110977.7,.,.,.,.,.,.,.,.
12/1999,111383.89,268700.545,268867.838,.,.,.,.,.,.,.,.,.,.,.,.,.,.,162664.907,40367.061,122297.846,4831.3,29814.561,5881.674,54654.12,113305.4,3979.9,108300.1,.,.,.,.,.,.,.,.
01/2000,101145.446,260852.624,261040.531,109.12400942386,101.6,120.352960580571,98.8,101.4,101.6,100.6,100.3,107.6,.,.,.,.,.,167011.613,39595.552,127416.061,4945.302,29889.543,6051.566,55171.58,113418.6,3939.8,108451.7,2476.1,13.7,.,.,5796,.,.,.
02/2000,100853.239,264431.926,264628.088,102.237487733072,102.5,124.6,98,101.1,101,99.9,100.3,99.8,.,.,.,.,.,169357.803,39630.23,129727.573,5155.371,30187.568,6226.941,55980.156,109078.9,4031.5,104024.4,2525.8,14,.,.,6199,.,.,.
03/2000,100392.876,269598.133,269788.139,100.63351890958,102.205882352941,126.887417218543,104,100.9,100.7,100.4,100.2,102.1,.,.,.,.,.,171250.024,39683.662,131566.363,5249.5,31236.496,6469.515,57652.546,108709,3790,103905.7,2531.7,14,.,.,5977,.,.,.
04/2000,101326.805,272969.659,273158.766,100.80122090805,100.719424460432,128.112050389524,105.2,100.8,100.5,100.5,100.1,94.4,.,.,.,.,.,174957.138,40457.133,134500.004,5427.154,31570.411,6771.918,58648.114,112801.8,4022.5,107720.8,2487.9,13.8,.,.,5360,.,.,.
05/2000,103253.883,276690.83,276886.35,108.194549583649,100,130.874550744481,104.1,100.4,100.4,100.3,100.1,100,.,.,.,.,.,176484.019,40287.503,136196.516,5709.286,32778.186,7056.368,60443.769,113163.9,3952.6,108152.7,2445.4,13.6,.,.,5955,.,.,.
06/2000,109322.242,291693.383,291886.891,113.468602413853,101.2,131.600903876238,102,100.6,100.3,100.3,100.1,99.9,.,.,.,.,.,180867.133,42991.989,137875.144,5688.127,42612.328,7449.211,70880.122,114097.1,4182.9,108832.1,2437.4,13.6,.,.,4991,.,.,.
07/2000,104920.124,284257.695,284515.704,94.4812702327732,101.3,133.321579689704,116.2,100.7,100.3,100.2,100.2,104.7,.,.,.,.,.,181301.384,41105.744,140195.64,5755.818,34693.607,7762.716,63375.775,111161,3970.1,106150,2477.6,13.8,.,.,6463,.,.,.
08/2000,105440.485,284914.891,285170.986,80.5188448360255,104.6,132.571926765475,102.147971360382,98.9,100,99.8,100,100,.,.,.,.,.,182972.894,40855.841,142117.053,5955.941,35411.866,8125.259,64643.584,111856.5,4012.2,106788.9,2496.2,13.9,.,.,7147,.,.,.
09/2000,103849.065,288852.124,289140.139,100.243161094225,103.9,130.824794221401,100.934579439252,101.4,100.1,100.7,102.5,99.9,.,.,.,.,.,185806.391,40681.709,145124.682,5973.584,36340.536,8522.942,66278.57,115397.7,4108.1,110205,2528.8,14,.,.,6882,.,.,.
10/2000,103732.595,295448.056,295734.76,99.6159288457651,103.1,125.857727415801,98.2,100.8,100.4,100.5,103.3,100,.,.,.,.,.,190127.619,40367.246,149760.373,6163.011,37012.659,8900.161,67872.575,122168.5,4096.8,116972.9,2547.7,14.1,.,.,8442,.,.,.
11/2000,104210.773,298749.981,299052.9,107.386363636364,97.7,121.697558105325,90.5660377358491,100.3,100.2,100.4,100.5,99.9,.,.,.,.,.,192175.099,40233.798,151941.302,6448.329,37241.666,9240.753,68734.319,118742.3,3979.7,113692.9,2613.1,14.5,.,.,9086,.,.,.
12/2000,106455.891,300424.137,300757.259,105.593348450491,95.8,118.3,105.4,101,100.2,100.2,100,99.9,.,.,.,.,.,194972.85,40976.027,153996.824,6200.636,37852.357,9631.16,69625.531,113796,3734.9,109051,2702.6,15.1,.,.,15491,.,.,.
01/2001,101370.301,298976.518,299239.704,103.990694345025,96.0132890365449,112.690146635604,99.9,100.6,100.1,99.9,100.2,100.1,100.8,100.5,100.8,101.1,100.4,198692.971,40337.838,158355.132,6145.711,37793.341,9789.735,69818.724,114901.9,3574.5,110335.4,2835.6,15.7,.,.,9496,.,.,.
02/2001,102466.514,303598.941,303883.503,100.72276716572,92.1,110.230008023536,99.1,99.8,100.6,99.5,100.3,97.1,100.1,100.1,100.3,100.3,100.3,202227.6,40510.989,161716.61,6279.475,37471.336,9955.953,69981.904,117013.8,3593.1,112430.4,2876.9,15.9,.,.,7815,.,.,.
03/2001,103172.053,309065.8,309465.744,98.4110712455151,94.8,105.949895615866,108.3,100.5,100.7,99.8,100.1,100,100.5,100.2,100.7,100.4,100.3,204986.333,40731.468,164254.866,6330.041,37461.195,10166.123,70429.434,114792.8,3493.5,110067.6,2898.7,16.1,.,.,8444,.,.,.
04/2001,102704.046,310319.035,310608.727,99.4270833333333,114.5,103.066373398887,103.917050691244,101.5,100.6,100.1,100,100,100.8,100.7,100.5,100.4,100.3,205423.927,40958.175,164465.752,6246.326,37699.363,10444.309,71158.036,110294.4,3459.4,105648.3,2878,16,.,.,8095,.,.,.
05/2001,104276.491,312736.603,313034.589,98.3761131482452,101.038062283737,101.059238917222,93.2,101.6,100.4,100.3,100.1,108,101.1,100.9,100.1,101,100.3,207315.708,41221.664,166094.044,6323.728,38109.65,10659.509,71928.306,108406.2,3544.7,103534.4,2841.1,15.9,.,.,7064,.,.,.
06/2001,105052.553,314724.897,315025.525,99.0770323038694,98,99.7886672830538,102.142857142857,99.5,100.2,100.1,100,100,99.9,99.9,99.9,100.2,100.1,209867.856,42029.622,167838.234,6196.867,38357.132,11011.576,72557.968,108102.1,3567.3,103216.5,2849.2,15.9,.,.,6702,.,.,.
07/2001,108318.89,320801.266,321103.651,94.3926907918309,100.1,98.4792382967469,103.4,97.6,100.2,99.9,99.9,100,99.7,99.2,100.6,100.3,100.2,215221.519,44344.174,170877.345,6045.124,39225.59,11955.791,77067.117,118015.2,3725.7,112669.8,2871.5,16,.,.,8848,.,.,.
08/2001,108459.719,324636.133,324942.011,92.579237046878,103,97.0800999605419,104.4,98.7,100.5,99.5,100,100,99.7,99.6,100.1,100.1,100.1,217632.283,44887.937,172744.346,6015.06,39847.53,12615.399,78752.837,118678.1,3821.3,113183,2892.6,16.2,.,.,7962,.,.,.
09/2001,111975.291,326867.489,327153.514,100.676506765068,100.6,96.0323574730355,102.3,100.7,100.7,100.1,101.4,96.4,100.3,100.5,100.1,99.9,100.2,218740.591,45915.907,172824.684,5788.88,40170.71,13072.598,79737.71,119899.1,4105.7,114130.9,2920.4,16.3,.,.,7437,.,.,.
10/2001,111830.135,330919.544,331194.656,100.48869883934,99.4,95.6733775165687,100,100.6,100.4,100.4,102.5,100,100.4,100.4,100.4,100.3,100.2,218556.322,45311.011,173245.311,5659.908,39953.593,13207.109,79516.117,118451.1,3778.2,113074.8,2944.3,16.4,.,.,9068,.,.,.
11/2001,109387.816,322359.738,322658.05,94.2857142857143,96.9491525423729,96.0957331076997,96.4,100.2,100.2,100.3,100.2,100,100.1,100.1,100.4,100.1,100.1,216050.722,41329.411,174721.311,5213.52,40089,13520.253,79936.71,106790.3,3724.2,101478.6,3022.4,16.8,.,.,10309,.,.,.
12/2001,119567.906,329469.146,329704.677,102.063185041908,101.8,96.77648731927,98.7,100.6,100.2,100.1,100,100,100.2,100.2,100.5,100.1,100.1,219531.558,45497.688,174033.871,4923.206,40018.622,14115.397,79851.053,105891.6,3646.2,100266.1,3115.1,17.5,.,.,14727,.,.,.
01/2002,112974.328,323454.189,323709.239,100.442198357549,99.9,98.6,90.6,101.2,100.2,99.6,100.2,100.1,100.8,100.7,100.4,100.7,100.2,221405.108,45160.968,176244.14,4820.229,39615.318,14545.596,79833.582,109684.7,3888.1,103756.6,3253.3,18.1,.,.,8355,.,.,.
02/2002,116991.968,326183.539,326410.146,101.320754716981,99.9,96.9428606090016,96.5,100.1,100.2,99.2,100.1,100,100.1,100.1,100.1,100.2,100.1,222462.485,46988.288,175474.197,4554.318,39446.881,14641.861,79660.021,111191.7,4129.4,104993.3,3277.9,18.2,.,.,7501,.,.,.
03/2002,116750.21,320959.393,321319.339,99.8551624249948,99.5,96.7980295566502,101.6,100.4,100.4,99.7,100.1,100,100.2,100.3,100.1,100.2,100.1,222938.891,47773.332,175165.559,4593.545,38931.041,15198.44,82549.235,111812.9,4120.3,105652.6,3259.9,18.2,.,.,6007,.,.,.
04/2002,118455.667,319709.617,320083.788,99.1297140489018,99.2,95.3929199096159,94.75,100.5,100.4,100.1,100,100,100.5,100.5,100.3,100.3,100.1,220839.504,47392.823,173446.681,4657.065,39095.434,15602.332,82555.819,108359.6,4058.5,102302.4,3203.6,17.9,.,.,7709,.,.,.
05/2002,124038.913,324489.529,325187.527,97.9515050167224,96,90.7867494824017,93.2,99.1,100.2,100,100,100,99.8,99.7,99.7,100.1,100,221671.712,49150.933,172520.779,4443.264,39545.313,16559.532,83234.524,110955.8,4355.9,104443.4,3064.6,17.3,.,.,6013,.,.,.
06/2002,128714.677,324586.696,325076.363,99.445155783184,97.6,90.6,96.4,98.6,100.2,99.9,100,100,99.6,99.5,99.8,100.1,100,221677.278,49846.663,171830.615,4454.976,39863.312,17775.521,83433.418,113832.4,4259.2,107337.5,3090.9,17.4,.,.,7209,.,.,.
07/2002,131505.893,327167.081,327462.344,93.2188841201717,100,89.1902779642809,107.7,97.1,100.1,99.8,100,100,99.5,99,100.3,100.1,100,222360.55,50905.772,171454.778,4476.864,40256.391,18738.273,84607.623,122143.4,4201.6,115137.5,3105.3,17.5,.,.,5975,.,.,.
08/2002,129286.412,326017.515,326290.308,99.0101289134438,100,90.0149031296572,98.9100817438692,98.6,100,99.5,100,100,99.6,99.5,100,100,100,221609.83,51276.176,170333.654,4429.433,40738.214,18898.22,85107.969,121676.3,4287,114573.6,3105.6,17.5,.,.,6904,.,.,.
09/2002,130679.128,324017.337,324176.673,99.8372471518252,99.8,89.2365289477203,95.5,100.8,99.8,100,100.3,100,100.3,100.4,100.1,100,100,219467.068,50779.867,168687.201,4445.089,41386.186,19323.387,85981.173,121398.7,4442.4,114138.7,3108.1,17.6,.,.,6878,.,.,.
10/2002,130450.312,324620.533,324781.988,100.7452258966,97.5,90.654816363874,95.3757225433526,101,96.8,100.5,101.5,100,100.3,100.3,99.9,99.8,100.1,217737.923,50648.18,167089.743,4513.33,41074.574,19726.156,85830.581,117934.5,4227.4,110966.9,3108.1,17.5,.,.,11023,.,.,.
11/2002,134731.719,321562.565,322394.449,97.6421636615811,100,89.6100628930818,97.8,99.7,99,100.2,100.2,100,99.9,99.8,100.2,99.9,100,214499.485,53172.211,161327.274,3707.261,40697.302,20069.647,85790.632,118291.6,4230.6,111325.3,3150.8,17.8,.,.,9273,.,.,.
12/2002,140774.929,324346.43,326124.904,102.035984848485,104.198473282443,90.1665442076904,100.61919504644,100.3,99.6,100,100,100,100.1,100.1,100.5,100,100,213398.977,54075.01,159323.967,3545.896,40966.601,20634.27,86122.657,114374.6,4353,107330.7,3217,18,.,.,14748,.,.,.
01/2003,134186.05,319758.534,322118.612,101.1,96.4,91.1,89.7,100.4,99.8,99.4,100.1,100,100.4,100.3,100,100.3,100.1,212176.47,52971.599,159204.871,3509.325,40623.089,21137.755,86459.571,116410.1,4641.1,109053.6,3320.6,20.6,.,.,9607,.,.,.
02/2003,137582.987,323056.954,325695.455,102.5,101.1,91.9,103.4,99.8,100,98.8,100.1,100,100.1,100.1,99.9,100.1,100.1,213720.321,54822.981,158897.34,3463.021,40000.137,21727.85,86638.636,124648.6,4499.1,117387.7,3344.2,20.7,.,.,9554,.,.,.
03/2003,140974.704,322637.85,325677.598,101.6,99.1,93.1,100.6,100.3,100.1,99.5,100,100,100.3,100.3,100.1,100.1,100,213497.317,55095.189,158402.128,3461.758,40277.84,22803.247,88367.488,125978.6,4487.8,118597.4,3321,20.6,.,.,8492,.,.,.
04/2003,135464.734,321984.99,325293.949,104.5,101.7,94.8,103.1,100.6,100.3,100,100,100,100.2,100.2,99.8,100.1,100,210781.4,54552.606,156228.794,3470.563,40127.962,22673.675,87971.616,119257.6,4278.9,112014.9,3246.1,20.3,.,.,9573,.,.,.
05/2003,142846.078,325064.664,328456.735,108.4,95.7,98.7,98.2,100.4,100.2,100,100,100,100,99.9,99.9,100.1,100,209205.006,55230.231,153974.775,3379.707,40697.127,23501.339,89339.794,124408.8,4490.8,116988.3,3159.6,19.8,.,.,10524,.,.,.
06/2003,151226.968,327733.066,331497.561,103.7,99.5,98.8,103.4,100,100.2,100,100,100,99.9,99.8,99.8,100,100,209158.534,56708.111,152450.423,3280.774,40847.324,24581.109,90495.729,125018.2,4461,117524.6,3134.6,19.7,.,.,18585,.,.,.
07/2003,151855.899,327958.022,331794.931,89.7,97.1,100.5,110.9,98.1,100.2,99.6,100,100,99.6,99.3,100.2,99.9,100.1,208694.454,57737.807,150956.647,3238.927,40989.282,25228.623,91317.759,124025.7,4544.3,116503,3123,19.6,.,.,43492,.,.,.
08/2003,153307.584,329714.07,333651.934,90.9,101.3,100.9,101,98.2,100.6,99.3,100,100,99.6,99.5,100.1,100,100.1,208400.643,58375.125,150025.518,3207.401,41146.825,26028.286,92282.992,126619.9,4964.1,118271.5,3099.1,19.5,.,.,6458,.,.,.
09/2003,156679.605,331850.367,335817.495,101.6,99.5,103.4,105.1,101.5,100.4,99.8,100.2,100,100.5,100.6,100.2,100,100.1,207866.703,58494.545,149372.158,3187.405,41762.049,27888.795,94890.294,130930.4,5109.1,122438.3,3073.3,19.4,.,.,8174,.,.,.
