month,M1_mio_PLN,M2_mio_PLN,M3_mio_PLN,Wheat_prices_index_MoM,cattle_prices_index_MoM,milk_prices_index_MoM,pigs_price_index_MoM,food_and_beverages_price_index_MoM,alcohol_and_tobacco_products_price_index_MoM,clothes_and_shoes_price_index_MoM,education_goods_and_services_price_index_MoM,communications_goods_and_services_price_index_MoM,consumer_price_index_MoM,core_inflation_net_of_administered_prices_excluded_MoM,core_inflation_net_of_most_volatile_prices_MoM,core_inflation_net_of_food_and_energy_prices_MoM,core_inflation_15pct_trimmed_mean_MoM,total_deposits_mln_PLN,total_overnight_deposits_mln_PLN,total_term_deposits_mln_PLN,total_accrued_interest_on_deposits_mln_PLN,total_consumption_loans_mln_PLN,total_loans_for_purchase_of_property_mln_PLN,total_loans_to_households_mln_PLN,total_official_reserve_assets_mln_PLN,monetary_gold_mln_PLN,other_reserve_assets_mln_PLN,registered_unemployed_in_thousands,rate_of_unemployment,average_monthly_salary_in_private_sector_PLN,rail_transport_mln_ton-km,new_flats_added,current_account_mln_PLN,capital_account_mln_PLN,financial_account_mln_PLN
01/2015,596572.78,1032424.444,1044747.366,105.6,104.2,79.5,97.4,100.8,100.1,96.4,100.1,100,99.8,99.6,100,99.8,100.1,597970.734,301758.913,296211.821,3603.323,138265.141,379039.719,597195.339,370037.9,15555.7,346024.2,1918.6,11.9,3942.78,3455.9,11748,-2550,1195,-3114
02/2015,603439.877,1038760.559,1052746.148,99.6,102.2,79.6,109.8,100,100.6,98.1,100,100,99.9,99.8,99.9,100,100,604848.018,307336.718,297511.3,3567.992,137879.507,374419.065,592613.239,360588.8,14745.5,337859.4,1918.7,11.9,3981.75,3606.8,9493,-1151,8904,4805
03/2015,620090.093,1050848.922,1066042.165,98.1,100.4,80.5,98.5,99.9,100.2,100.8,100,100.2,100.2,100.2,100.1,100.1,100.1,606507.338,309239.312,297268.026,3516.52,138741.182,375700.786,595651.512,370293.8,14877.2,347723.8,1860.6,11.5,4214.14,4246.9,10462,2196,5093,6612
04/2015,612559.548,1043441.637,1055849.171,98.3,98.8,80,100.5,100.6,100,103.1,100,100.8,100.4,100.5,100.3,100.4,100.1,606048.712,311679.064,294369.648,3442.836,139150.358,373647.692,594608.697,370370.7,14341.2,348475.8,1782.2,11.1,4123.26,4053.2,10435,5468,486,4667
05/2015,621988.827,1052740.961,1065807.766,94.9,100.9,80.4,96.2,99.8,100,100,100,99.6,100,100,99.9,100,100,608192.765,314288.317,293904.448,3402.623,140888.1,380543.93,604231.09,387714.9,14838.6,365108.3,1702.1,10.7,4002.16,4337.5,10410,3647,3490,4506
06/2015,638624.618,1065897.275,1077727.45,100.6,101.5,81.3,104.6,100.1,100.1,99.2,99.9,99.3,100,100.1,99.9,99.9,100,611955.715,319061.15,292894.565,3280.451,141364.921,384128.229,609240.238,391735.9,14636.6,369382,1622.3,10.2,4039.7,4212.3,11418,-8137,852,-7408
07/2015,639680.587,1074074.485,1087321.871,102.4,93.4,81,99.6,98.9,100,97.5,100.1,101.6,99.9,99.9,100,100.2,100,616415.383,320372.141,296043.242,3166.869,142313.983,381332.879,608183.657,374253.8,13555.3,352990,1585.7,10,4095.26,4349.9,12886,-5679,14943,6821
08/2015,652363.722,1083208.702,1094496.91,96.9,100.8,84.1,99.3,99.3,100,97.6,100,100,99.6,99.6,99.9,99.9,100,621194.625,323909.257,297285.368,3131.87,143712.107,382378.631,610053.064,373053.5,14189.7,351070.6,1563.5,9.9,4024.95,4230.7,11215,-3028,3896,-561
09/2015,655895.841,1094310.501,1106539.682,101.5,99.5,87.3,105.3,100.6,100,100.9,100.5,99.8,99.7,99.8,100,99.8,100,623967.994,323033.671,300934.323,3085.451,144755.958,381898.956,610814.939,383089.8,14023.8,361483.6,1539.4,9.7,4059.19,4639.8,13264,-2763,334,-2564
10/2015,657277.73,1107298.067,1120685.204,100.8,101.3,90.1,95.1,100.4,100,103.3,100.3,99.7,100.1,100.1,100.1,100.2,100,630329.133,326013.78,304315.353,2987.185,145408.467,384798.34,614340.47,390509.4,14716.9,368072.5,1516.9,9.6,4110.77,4821.3,14965,-881,1311,-2714
11/2015,676818.137,1118293.72,1130023.045,101.7,103.4,90.9,88.3,99.7,100,99.7,100,99.9,99.9,99.9,99.9,99.9,100,635530.092,330222.816,305307.276,2927.301,146061.201,385284.686,615692.87,395158.6,14079.9,373222.5,1530.6,9.6,4164.01,4583.3,13736,-128,2640,-945
12/2015,692124.41,1145258.817,1154992.6,100.9,100.9,91.4,99.2,99.9,100,99,100,100,99.8,99.8,99.8,100,99.9,650754.956,339117.881,311637.075,2930.392,146787.853,386400.512,616770.301,370296.7,13713.4,348879.4,1563.3,9.7,4515.28,4065.3,17679,-3510,-639,-8129
01/2016,686587.912,1140951.337,1151171.506,98.6,99,91.5,103.3,101,100.1,96.4,100,100.1,99.5,99.5,99.7,99.5,99.9,657853.137,342998.045,314855.092,2864.402,146998.843,390189.412,621477.281,406190.9,14997.8,383393.4,1647.5,10.2,4101.36,3442.9,12771,2083,7136,6506
02/2016,700614.333,1150393.358,1158908.406,96,97.7,90.7,103.4,100.3,100.3,98.2,100,100.1,99.9,99.9,99.9,100,100,663913.62,346324.908,317588.712,2821.344,147521.723,390278.537,622601.817,394940.2,16309.9,374380.5,1652.7,10.2,4137.55,3743.4,12256,-2433,3143,-2977
03/2016,705866.014,1154736.097,1162602.993,98.2,92.21,87.5,102.5,100.4,99.9,101.8,100,99.9,100.1,100.2,100.1,100,100.1,667813.711,351753.882,316059.829,2761.281,148376.432,387462.843,620770.023,377895,15347.1,358439.2,1600.5,9.9,4351.45,4190.7,12396,-2525,111,-6094
04/2016,711237.128,1169793.673,1178341.912,98.9,108,87.9,97.7,100.3,100.2,102.7,100,99.4,100.3,100.4,100.3,100.3,100.2,671446.287,355756.392,315689.895,2680.83,149937.024,393885.738,629808.568,406763.1,16340.1,386199.2,1521.8,9.4,4313.57,4154.4,13711,1652,274,205
05/2016,728624.606,1180640.185,1189370.856,100.3,102.7,89,109.6,99.9,100.1,99.5,100,100,100.1,100.2,100,100,100.1,674172.42,360065.062,314107.358,2612.153,151335.121,393033.516,630726.118,425248.2,15772.4,405228.3,1456.9,9.1,4166.28,4187,10907,689,-213,-198
06/2016,740258.495,1192033.525,1200885.98,101.3,100.2,90.6,108.9,100.2,100.1,99.4,99.9,99.7,100.2,100.3,100.1,100.1,100,683225.025,369055.847,314169.178,2558.841,152750.561,397925.898,636731.869,438896.2,17349.8,417257,1392.5,8.7,4252.19,4260,11700,4024,-81,2965
07/2016,739420.619,1194740.021,1204004.524,97.7,97.6,93.4,108.3,99,100,96.9,100,100,99.7,99.6,100,100,100,686000.601,371950.231,314050.37,2465.649,153503.894,397003.533,637328.253,429161.1,17360.5,407583.9,1361.5,8.5,4291.85,4224.6,12883,-5429,-33,-2501
08/2016,749543.271,1195282.172,1204629.506,96.2,101.9,97.3,100.1,99.5,100,97.5,100.1,100.1,99.8,99.7,100,99.9,100.1,686621.309,374058.601,312562.708,2375.439,154748.546,396148.881,637897.354,429964.2,17002.6,408769.9,1346.9,8.4,4212.56,4375.7,12728,-4431,140,-3308
09/2016,753416.721,1200629.672,1210101.416,102.8,100,102.8,99.7,99.8,100,100.9,100.6,100,100,100,100,99.8,100.1,687828.035,376409.738,311418.297,2291.697,155831.074,397162.551,640391.434,431536.4,16946.3,410465.3,1324.1,8.3,4217.96,4479.8,12665,-4836,91,-3003
10/2016,759085.087,1208958.246,1218275.348,99.7,96.5,107.4,94.8,100.5,100.2,103.6,100,100,100.5,100.6,100.4,100.4,100.3,691800.687,380825.887,310974.8,2240.369,156665.449,398736.067,642641.058,446332,16653.2,425508.1,1308,8.2,4259.37,4725.5,16620,-1349,-223,-21
11/2016,784755.363,1231173.086,1239680.869,100.8,101.3,114.6,97.8,100.4,100.1,99.7,100,100,100.1,100.1,100.1,100,100,703095.628,390133.477,312962.151,2189.868,157357.645,404284.56,648729.428,462448.7,16398,441695.5,1313.6,8.2,4329.71,4481.1,16573,-810,3685,5914
12/2016,815304.036,1256211.86,1265661.65,103.9,104.8,120.4,102.5,101.2,100,98.9,100,100,100.7,100.8,99.9,100.1,100.1,713855.042,399945.865,313909.177,2179.939,156897.666,405032.068,648178.947,478076.9,16035.8,457687.9,1335.2,8.2,4635.77,4384.4,18115,-1306,5438,8457
01/2017,797286.502,1238924.191,1249194.589,102.8,101.3,118.1,97.6,101.8,100.1,95.7,100.1,99.7,100.4,100.3,100.2,99.7,100.4,714327.364,401223.608,313103.756,2142.818,157989.163,403139.845,648094.708,459850.8,16051.2,439634.5,1397.1,8.5,4277.32,3706.1,15330,10643,478,8959
02/2017,809621.039,1244740.997,1253836.479,100.8,98.2,121,98.5,101,100.5,98.2,100,99.9,100.3,100.4,100,100.1,100.2,720997.837,409601.112,311396.725,2078.827,158276.302,403701.915,649107.793,451768.4,16896.4,430748.5,1383.4,8.4,4304.95,3845.8,11501,-1613,863,-2743
03/2017,810789.103,1243238.909,1253372.791,103.9,99.9,124.2,103.2,99.6,100.1,101.8,100,100,99.9,99.9,100.2,100.2,100.1,722887.758,413287.628,309600.13,2039.608,159048.161,400994.163,648497.509,441836.6,16218.2,421626.4,1324.2,8,4577.86,4555.9,13672,-216,1326,-1205
04/2017,811904.589,1246275.189,1257180.992,99.9,100.8,127.4,108.1,100,99.6,103,100,100,100.3,100.3,100.3,100.6,100.1,723173.307,417390.575,305782.732,2030.67,160462.671,400525.715,650164.139,423403.4,16212,403231.5,1252.7,7.6,4489.07,4438.3,11296,1242,427,-1506
05/2017,825305.198,1250680.325,1263878.301,103.3,100.5,131.4,102.5,100.8,100.2,99.7,100,102.4,100,100,100.2,99.9,100.1,719092.914,418092.446,301000.468,2023.949,162262.14,399508.969,651612.98,409837.3,15628.1,390360.2,1202.1,7.3,4390.99,4658,13641,-893,970,-2303
06/2017,830521.178,1249015.235,1260701.952,100,99.2,133,101.5,100.1,99.9,99,99.9,99.6,99.8,99.8,100.1,100,100,722614.61,424940,297674.61,2002.231,160903.144,407649.988,657138.413,414068.1,15253.8,394970.8,1151.6,7,4508.08,4607.9,12846,-4747,2334,-3607
07/2017,837388.62,1252247.803,1264291.93,97.5,99.4,133.3,94.2,99.8,100.2,96.6,100.1,100.1,99.8,99.8,100.1,99.9,100.1,721315.749,425382.312,295933.437,2030.025,161898.071,404810.403,656057.726,398126,15202.8,379219.6,1140,7,4501.52,4745.9,17334,-2584,2796,-1420
08/2017,843145.964,1259261.618,1269796.34,92,102.9,133.2,100.2,99.4,99.9,97.5,100.1,99.5,99.9,99.8,99.9,99.8,100.1,723732.469,428486.657,295245.812,2069.682,163274.32,405590.427,658053.252,392903.7,15485.3,373790.7,1136.1,7,4492.63,4807.9,14404,477,631,-1217
09/2017,844458.426,1266349.04,1275942.425,101.4,99.1,129.6,99.8,100.4,100.4,102.1,100.9,100.5,100.4,100.4,100.2,100.1,100.3,724792.058,429938.64,294853.418,2089.21,164525.446,408629.362,662696.118,406641.6,15558.8,387418,1117.1,6.8,4473.06,4778.4,14210,-575,1001,-2692
10/2017,856908.891,1277419.021,1287690.466,100.5,102.2,123.4,91.6,100.9,99.8,103.5,100.5,99.9,100.5,100.6,100.3,100.3,100.1,728118.341,433641.971,294476.37,2102.687,165704.576,406629.257,661624.668,404153.2,15411.3,385122.4,1069.5,6.6,4574.35,5022.4,17409,-917,2454,-968
11/2017,874442.381,1284960.218,1295827.085,101.4,101.2,116.6,96,101,100.2,99.7,100.1,99.8,100.5,100.6,100.3,100.1,100.2,733282.525,439616.978,293665.547,2119.87,166469.979,405620.398,661123.756,402977.2,15086.6,384429.9,1067.7,6.5,4610.79,4939.8,18129,-230,648,-2420
12/2017,906374.577,1312847.319,1324368.561,102.4,102.3,112.2,98.1,100.5,99.9,98.6,100,100,100.2,100.2,100,100.1,100,744026.587,451134.639,292891.948,2131.824,167694.198,404611.514,660756.492,394357.8,14942.1,376080.2,1081.7,6.6,4973.73,4690.9,18570,-6944,11073,1584
01/2018,885711.518,1296258.294,1309614.825,99.6,98.5,107.6,93.5,101.2,100.5,96.1,100.3,100.2,100.3,100.3,100.1,99.9,100.4,743787.509,452587.651,291199.858,2091.835,168878.887,405500.899,663414.781,391618.5,14817.4,373558.7,1133.7,6.8,4588.58,4776.7,15005,9138,3742,10661
02/2018,892298.85,1303824.041,1315382.347,98.8,98.4,102,104,99.6,100.2,98.5,100.1,98.6,99.8,99.7,100.1,100,100,752129.095,461785.565,290343.53,2079.011,169834.439,408795.771,667690.396,396752.4,14943.5,378520.3,1126.7,6.8,4599.72,4525.1,14921,-3246,1002,-4005
03/2018,890402.647,1310701.665,1325795.63,101,98,102.1,104.4,99.9,100.1,102.3,100.1,100,99.9,99.9,100.1,100,100,757336.03,466827.319,290508.711,2100.976,171120.763,409423.789,669920.834,407859.6,14962.2,389590.8,1092.2,6.6,4886.56,5022.6,14708,-6047,943,-9140
04/2018,899499.755,1313095.269,1328848.506,99.1,103.7,100.9,97.4,100.4,100.3,102.9,100,99.4,100.5,100.6,100.4,100.5,100.2,757672.922,468732.43,288940.492,2112.154,172543.927,409422.553,671973.821,394801.9,15193.5,376267.6,1042.5,6.3,4840.44,4926.2,13861,-198,2017,5161
05/2018,912150.432,1331452.952,1346708.077,101.5,100.7,98.2,98.6,99.7,100.2,99.6,100.1,100.3,100.2,100.2,100,99.9,100.1,763149.362,473355.677,289793.685,2142.386,174812.952,418585.843,683906.779,415744.2,15992.3,396270.5,1002.2,6.1,4696.59,4955.5,11972,-533,1865,424
06/2018,921896.232,1339105.636,1352491.927,102,98,96.6,104.3,99.8,100.1,98.6,100,99.9,100.1,100.1,100.1,100.1,100.1,769749.396,479655.443,290093.953,2126.349,176115.399,420782.854,687706.083,407981.8,15499.9,388435.8,967.9,5.8,4848.16,4887.1,12319,-2638,3114,-1199
07/2018,931495.364,1343164.219,1356806.023,101.1,98.9,95.8,101,99.3,100.3,96.5,100,100,99.8,99.8,100.1,99.9,100.1,773789.736,483759.403,290030.333,2149.666,177626.855,420019.946,688774.118,409120,14991.1,390207.5,961.8,5.8,4825.02,5093.3,16637,-5171,7279,-619
08/2018,937102.889,1352880.016,1365479.628,108.5,101.5,92.9,102.8,99.3,99.9,98.3,100.1,100.4,100,99.9,100,100.1,100.1,778760.971,488197.581,290563.39,2172.161,179145.771,425262.996,695651.133,416898.5,16039,396927.6,958.6,5.8,4798.27,5072.7,16415,-4916,2162,-1535
09/2018,945165.095,1359313.764,1376164.833,106.5,99.4,91.6,97.4,100.6,100.2,102.4,101.4,97.7,100.2,100.2,100.2,100,100.3,782705.689,492820.983,289884.706,2156.173,179781.255,425344.566,696537.624,414879.8,16314.6,394660.8,947.4,5.7,4771.86,5004.2,13914,-3531,872,-2215
10/2018,957382.967,1380484.551,1394706.059,101.2,100.4,92.4,93.9,100.4,99.7,103.9,100.6,99.9,100.4,100.4,100.2,100.3,100.1,793939.907,501546.842,292393.065,2153.216,181146.522,428662.702,700691.338,425644.4,19238.9,402182.6,937.3,5.7,4921.39,5466.9,18871,-3145,6110,5963
11/2018,974892.754,1395254.167,1409695.835,101.5,100,92.7,95.8,100,100.4,99.9,100.3,97.4,100,100,100.1,99.9,100.1,803480.673,511274.724,292205.949,2116.598,182499.965,429939.026,703401.568,429510.7,19044.2,406285.5,950.5,5.7,4966.61,5069.2,16470,-126,2790,221
12/2018,1012353.076,1428233.205,1446092.585,101,100.5,91.9,99.4,100.7,99.6,98.6,100,99.9,100,100,99.9,100,99.9,818907.009,521028.424,297878.585,2135.755,183219.02,432235.297,705691.363,439751.7,19928.3,415048.2,968.9,5.8,5274.95,4593.9,19970,-7577,12711,1391
01/2019,987020.975,1410808.436,1425427.652,100.2,100.9,99.1,96.9,101.1,100.4,95.8,100.3,101.8,99.8,100.1,99.8,100,100.3,823451.276,519646.778,303804.498,2167.312,183996.146,431645.855,706450.588,423682.7,20385.2,398519,1023.1,6.1,4931.8,4479.8,17405,9107,1362,7447
02/2019,1002335.912,1430989.398,1444035.309,100.6,96.9,102.1,102.5,100.9,100.2,98.3,100.1,100.9,100.4,100.3,100.2,100.2,100.2,836226.204,530282.692,305943.512,2148.303,184903.422,434341.325,710653.413,425792.1,20749.6,400208.5,1016.7,6.1,4949.42,4417.7,15021,-3092,338,-5133
03/2019,1010349.268,1442834.344,1457187.139,98.9,102.1,102.7,107.5,100.4,100.2,103.2,100.1,99.9,100.3,100.4,100.4,100.4,100.2,844046.833,537466.107,306580.726,2155.406,186315.924,437411.16,715649.436,433306.3,20486.4,407999.4,984.7,5.9,5164.53,5039.3,14991,844,1746,-652
04/2019,1020811.506,1453094.839,1467093.788,96.5,99.3,102.8,127.8,101,99.9,103.1,100,100,101.1,101.2,100.6,101,100.5,847724.496,541785.499,305938.997,2143.406,188315.728,437256.718,718036.494,448068.7,20353.4,422754.5,938.3,5.6,5186.12,4713.6,17673,573,5146,6664
05/2019,1035864.362,1467430.917,1480589.526,98.8,100.5,104.2,102.1,101.4,100.5,99.9,100,99.6,100.2,100.2,100.3,99.7,100.3,853506.041,548463.593,305042.448,2165.351,190117.572,441562.467,724707.325,456660,21384.3,430326.2,906,5.4,5057.82,4573.3,14974,-232,2603,5278
06/2019,1046546.986,1465475.351,1478217.689,96.5,92.9,102.8,99,100.3,100.1,98.8,100.1,101.1,100.3,100.3,100.3,100.4,100.2,855912.795,556219.791,299693.004,2155.336,191886.551,443473.023,728876.089,439822.3,38708.4,396266.4,877.1,5.3,5104.46,4386.8,14412,494,4349,-1968
07/2019,1057089.379,1476692.523,1490888.555,88.6,102.7,100.7,97.7,100.3,100,96.5,100.1,100.4,100,100,100.2,100.1,100.2,859548.636,558323.212,301225.424,2148.361,194084.998,449070.909,735391.636,448683,40492,402764.8,868.4,5.2,5182.43,4663.3,16908,-3136,6971,4090
08/2019,1064527.931,1488482.189,1500466.208,98.2,98.1,100.6,103.2,99.7335787322872,99.9781995931046,98.4728696157331,100.005994241069,100.8,100,100,100,100.2,100,867867.161,568165.707,299701.454,2141.891,195600.432,455254.221,742775.017,463136.1,44570.5,413003.6,865.5,5.2,5125.26,4481.4,17334,-2909,2151,2567
09/2019,1082384.414,1495863.785,1506173.415,99.4,98.4,98.9,102.1,99.8,100,102.6,102.6,99.3,100,99.9,100.4,100.2,100.2,871096.764,573167.592,297929.172,2124.54,196785.331,457296.301,747054.565,483487.9,43742.8,434223.7,851.2,5.1,5084.56,4460.6,16998,3102,1477,3770
10/2019,1089792.11,1511907.37,1523945.155,100.6,100.7,96.9,99.2,100.3,100,103.5,100.9,100,100.2,100.2,100.4,100.3,100.2,877735.144,580019.976,297715.168,2105.486,197540.425,456289.493,745522.604,465343.5,42273.5,417728.5,840.5,5,5213.27,4906.7,20592,1043,6372,1893
11/2019,1109059.441,1530381.437,1542584.075,102.8,104.7,98.6,99.8,100.3,100.4,99.8,100.3,100,100.1,100.1,100.2,100,100.1,887439.658,589809.637,297630.021,2098.124,198398.075,459621.352,748193.998,470785.8,42061.6,423369,849.6,5.1,5229.44,4509.2,19042,5064,1502,4367
12/2019,1154871.586,1552647.893,1565574.707,101.5,100.2,99.7,106.5,101.2,99.9,99.2,100,100.4,100.8,100.9,100.1,100.6,100.2,898100.418,601413.695,296686.723,2096.091,198562.844,460771.53,748265.069,487643.5,42518.8,439897.4,866.4,5.2,5604.25,3951.3,22075,305,11262,5413
01/2020,1127700.962,1546994.528,1557781.594,104.1,101.3,97.5,95.4,101.9,101.4,95.5,100.5,99.7,100.9,100.5,100.4,100.1,100.8,901797.108,605921.749,295875.359,2077.783,199155.599,465562.997,753553.906,489270.1,45321.5,438623,922.2,5.5,5282.8,3782.8,18517,11717,-368,9700
02/2020,1152635.426,1569329.13,1579368.847,102.1,100.8,99.5,105.1,100.8,101.7,98.8,100.3,100.8,100.7,100.5,100.5,100.6,100.5,911534.296,617009.132,294525.164,2056.799,199561.642,469069.326,757801.931,503178.7,46932,450885.1,919.9,5.5,5330.48,4035.2,15527,4704,3416,9802
03/2020,1224779.799,1617386.266,1628423.346,100.7,96.3,99.3,100.2,100.8,100.4,102.5,100.1,100.4,100.2,100.2,100.5,100.5,100.4,924616.163,635278.935,289337.228,2015.414,198640.505,478228.68,766121.962,501297,48913.9,446659.9,909.4,5.4,5489.21,4321.1,15580,3572,6723,10409
04/2020,1275591.947,1666812.29,1673139.118,107.9,97.9,97.8,96.8,100.3,100.5,101.4,100,100.3,99.9,99.8,100.3,100.8,100.3,934453.034,657501.182,276951.852,1959.946,195760.969,480536.378,764749.629,493503.4,52663,434727.1,965.8,5.8,5285.01,3651.9,14358,3738,8246,11367
05/2020,1338261.167,1712512.395,1717907.002,101.8,101.7,97.2,87.4,100.2,100.1,99.1,99.8,100,99.8,99.7,100.3,99.9,100.2,950662.394,684518.77,266143.624,1914.163,195249.359,478707.442,760744.067,531562.4,50782.8,474464,1011.7,6,5119.94,3941.8,16357,7062,3736,6275
06/2020,1395848.364,1739330.112,1746224.832,99.6,100.7,98.9,104.8,99.9,100.2,99.8,100.9,101.7,100.6,100.7,100.3,100.7,100.3,960674.589,707220.476,253454.113,1817.005,195426.499,480863.854,762110.197,513847.1,51815.6,455618.7,1026.5,6.1,5286,4004.2,17006,14116,3702,14028
07/2020,1410037.415,1733221.147,1740828.341,88.1,100.3,100.4,90.4,98.6,100.2,97.7,100.2,100.6,99.8,99.8,100,100.2,100.1,959897.78,719701.533,240196.247,1694.078,196047.29,480056.745,761326.325,511679.45,53952.8,451537.7,1029.5,6.1,5381.65,4213.4,23806,2780,4051,3176
08/2020,1429109.073,1736424.185,1744100.859,95.5,97.7,102,99.9,98.9,100,98.5,100.1,100.2,99.9,99.8,99.9,100,100,958939.72,728820.067,230119.653,1583.498,196667.809,481059.126,762877.724,513655.2,53132.5,454388.3,1028,6.1,5337.65,4431.3,16378,4801,3378,2747
09/2020,1454114.652,1754840.992,1762175.558,104.4,104.2,105.3,94.3,99.6,99.9,102.6,102.6,101.3,100.2,100.2,100.3,100.4,100.2,962303.468,736531.048,225772.42,1462.795,197157.75,486210.129,768414.885,539263.9,53526.1,478922.2,1023.7,6.1,5371.56,4608.4,19425,6792,932,4127
10/2020,1481052.169,1775038.742,1782616.501,107.1,100.7,108.8,95.1,99.9,100,103,100.9,99.1,100.1,100.1,100.3,100.3,100.1,968946.412,749801.283,219145.129,1372.346,196524.17,491958.623,772941.499,566212.15,54558.1,504678,1018.4,6.1,5458.88,4797.1,19901,10692,8759,24586
11/2020,1502540.339,1783814.551,1790685.578,107.7,99.3,108.5,92.7,99.9315706464082,99.9651218861075,98.7516943783419,100.207246790042,100.959442028524,100.1,100.1,100,100.2,100.1,970355.202,757357.388,212997.814,1287.833,195531.01,488894.992,768006.885,539582.9,48673,484189.9,1025.7,6.1,5484.07,4780.2,19586,7769,2411,7575
12/2020,1531635.956,1814671.271,1822650.053,102.2,103.7,109.4,94.5,100,99.9,98.5,100,99.4,100.1,100.1,100,100,100.1,993783.132,784468.065,209315.067,1186.902,194483.703,494382.374,770913.252,579718.7,52252.6,520626.5,1046.4,6.2,5973.75,4483,25537,.,.,.
