quarter,new_construction_permits_issued,new_constructions_started,dwellings_in_construction,new_dwellings_completed_total,GDP_nominal_current_prices_mln_PLN,export_goods_and_services_current_prices_mln_PLN,imports_goods_and_services_current_prices,GDP_consumption_mln_PLN,GDP_investments_mln_PLN,net_international_investment_position_mln_PLN,overall_liabilities_mln_PLN,liabilities_direct_investment_mln_PLN,liabilities_portfolio_investment_mln_PLN,overall_assets_mln_PLN,assets_direct_investment_mln_PLN,asset_portfolio_investment_mln_PLN
Q1Y2000,24500,20800,675200,18000,.,.,.,.,.,.,.,.,.,.,.,.
Q2Y2000,33900,36700,695600,16300,.,.,.,.,.,.,.,.,.,.,.,.
Q3Y2000,39400,33200,708300,20500,.,.,.,.,.,.,.,.,.,.,.,.
Q4Y2000,54200,35000,710400,33000,.,.,.,.,.,.,.,.,.,.,.,.
Q1Y2001,23300,17600,702200,25800,.,.,.,.,.,.,.,.,.,.,.,.
Q2Y2001,28700,28800,709100,21900,.,.,.,.,.,.,.,.,.,.,.,.
Q3Y2001,30800,24300,709200,24200,.,.,.,.,.,.,.,.,.,.,.,.
Q4Y2001,66200,43800,718800,34100,.,.,.,.,.,.,.,.,.,.,.,.
Q1Y2002,12500,16200,713100,21900,189879.4,48550.8,56570.3,173843,24055.9,.,.,.,.,.,.,.
Q2Y2002,21200,22100,714300,20900,198461.7,56235.8,64150.1,172884.9,33491.1,.,.,.,.,.,.,.
Q3Y2002,24400,21700,716300,19800,200992.1,63232,69067.5,170543.3,36284.3,.,.,.,.,.,.,.
Q4Y2002,27900,16900,698200,35000,222880.7,65193,72347.9,174344.6,55691,.,.,.,.,.,.,.
Q1Y2003,13200,10700,681200,27700,194803.2,59340.49525,67463.5,175277.8,27648.4,.,.,.,.,.,.,.
Q2Y2003,22900,26000,668500,38700,207707.9,67895.89525,72650.1,178073,34389.1,.,.,.,.,.,.,.
Q3Y2003,26900,26500,636900,58100,208842.8,74673.49525,79808.7,176375.3,37602.7,.,.,.,.,.,.,.
Q4Y2003,35900,20500,619200,38200,235798.2,80619.59525,85863.7,181378.6,59663.7,.,.,.,.,.,.,.
Q1Y2004,22000,17700,608700,28200,214304.7,71035.6,77774.9,187835.5,33208.5,-363454,631055,252144,147847,-363454,-22816,-19588
Q2Y2004,31000,32900,619600,22000,226018.2,83446.1,93206.2,193510.6,42267.7,-373615,649519,264533,154366,-373615,-24518,-19266
Q3Y2004,31600,32100,629800,21800,228868.4,81724.3,88772.9,192911.4,43005.6,-382291,652859,271118,160377,-382291,-24613,-18774
Q4Y2004,30300,18400,612100,36100,263900.2,83242,87450.9,197826.6,70282.5,-381179,638736,273027,169344,-381179,-24890,-20070
Q1Y2005,25400,15200,600900,26500,230098.9,75462.73603,77669.272,197687.5,34617.9,-388655,664959,282270,193492,-388655,-26117,-20242
Q2Y2005,31700,34600,612500,22900,242441.245,85662.278,89283.428,200256.7,45805.7,-389339,693383,288621,221183,-389339,-29712,-21973
Q3Y2005,34000,33400,618000,28000,244647.8,87526.0719,91508.341,200708.1,47922,-400492,708261,291865,233982,-400492,-29257,-24876
Q4Y2005,32800,22600,603900,36700,273342.5,94187.491725,97327.7408454603,207831,68651.7,-413723,735297,312072,232799,-413723,-37526,-28637
Q1Y2006,31800,16800,592400,28300,244896.2,91719.9,95489,211849.8,36815.5,-434495,769527,332634,250508,-434495,-39924,-29073
Q2Y2006,43400,43500,613900,22100,256604.7,99423.1,105370.6,216565.3,45986.9,-447677,792836,343835,244020,-447677,-42639,-29709
Q3Y2006,46700,41300,628900,26200,264324.1,103192.6,110471,216391,55211.5,-457739,812475,356824,244647,-457739,-45745,-31931
Q4Y2006,48000,36300,626500,38800,303606.4,110134,118043.6,217694.2,93821.8,-480786,849690,386230,246772,-480786,-63388,-40283
Q1Y2007,45200,31300,630800,27000,272905.4,108871.2,117592.430052273,231802.6,49824.1,-506245,893257,408974,255329,-506245,-65119,-45134
Q2Y2007,69800,54900,659900,25800,285685.6,110415.3,122799.437833093,233935.9,64133.8,-535862,925916,418727,258820,-535862,-66575,-50028
Q3Y2007,68700,54900,680600,34100,290508.5,117012.5,127867.434304752,233281.1,68082.3,-550990,956175,438884,247483,-550990,-71570,-53137
Q4Y2007,65600,44000,677900,46700,338408.6,121084.4,134236.483647546,234401.3,117159.4,-584536,994921,456381,255352,-584536,-76536,-53526
Q1Y2008,50900,38100,680600,35400,302030.848,122026.0370395,135115.7,257943.1,57177.4,-609202,1033344,474593,240277,-609202,-81732,-45380
Q2Y2008,64900,56600,703300,33900,311056.714,123149.9452105,140061.6,257631.7,70336.7,-618532,1039568,480390,229468,-618532,-83550,-43530
Q3Y2008,66900,49600,714700,38200,314013.412,121581.9361005,140281.4,259356.7,73356.2,-631243,1059759,486537,228150,-631243,-94908,-37706
Q4Y2008,49900,30400,687400,57700,358469.826,119379.10805375,138505.2,261584.4,116011.5,-714760,1152597,510197,230521,-714760,-99115,-31359
Q1Y2009,43600,23500,669400,41500,321110.2,124577.1,126696.7,278566.8,44663,-758432,1239007,546726,238930,-758432,-111566,-30675
Q2Y2009,46700,44400,679100,34600,330450,126013.2,128305.2,271253.3,61488.7,-765489,1246085,557251,247942,-765489,-114576,-36184
Q3Y2009,48700,42000,682500,38700,337326.1,127411.1,132101.5,275723.8,66292.7,-780014,1270050,568307,274427,-780014,-115414,-40343
Q4Y2009,39700,33000,670300,45200,383138.2,131599.5,135988.8,277883.3,109644.2,-786782,1268701,554363,291019,-786782,-115256,-40115
Q1Y2010,35600,27200,663500,34000,331407,128902.601609,134029,289277.5,47255.9,-789096,1312028,622875,283025,-789096,-155418,-23133
Q2Y2010,46600,53800,687600,29700,350786,145797.464849,150899.6,286279.3,69608.8,-817010,1424546,637003,334145,-817010,-166487,-40257
Q3Y2010,50200,46600,700100,33900,358179.7,148914.431636,158947.6,294172.9,74040,-881323,1476879,659173,374380,-881323,-166704,-39438
Q4Y2010,42600,30300,692700,38200,406470.8,153375.28226,164524.5,297361.7,120258.3,-940609,1551595,700188,390402,-940609,-186251,-43558
Q1Y2011,37300,31000,696000,27500,358866.8,154165.529723,158929.2,310929.5,52701,-966254,1620685,721879,404776,-966254,-199209,-45370
Q2Y2011,50800,49000,717900,27100,378064.9,162019.553398,171145.2,307155.3,80035.2,-985282,1641875,730393,413102,-985282,-206922,-44487
Q3Y2011,53200,48300,733900,32300,387151.9,167864.549406,176511.9,309760.8,86038.5,-978170,1698176,735316,432713,-978170,-224848,-38242
Q4Y2011,42800,33900,723600,44200,441167.7,179525.960712,190842.8,316678,135806.4,-977912,1704541,740452,432683,-977912,-224660,-36567
Q1Y2012,38300,31400,718900,36300,377803.3,175310.8,182126.5167673,326669.7,57949.3,-1030928,1718235,748400,468440,-1030928,-221455,-38514
Q2Y2012,49700,49300,736600,31600,397430.1,179640.1,182139.435612117,320203.6,79725.8,-1021471,1751229,754386,485152,-1021471,-222957,-37036
Q3Y2012,40000,36100,735800,37000,400837.5,180242.4,179819.503638372,320377.1,80037.5,-1035940,1765704,761037,507230,-1035940,-224270,-38885
Q4Y2012,37300,25000,712700,48100,447371.5,183204,186687.74454837,323543.6,127311.7,-1064733,1799096,777369,530506,-1064733,-223445,-40351
Q1Y2013,29500,21600,697100,37100,378756.47,176964.9,175542.6,329813.5,47520.7,-1066875,1828556,787282,539405,-1066875,-228135,-47779
Q2Y2013,38400,37400,703700,30800,399916.3,187552.9,177436.2,320810.8,68988.8,-1074869,1833214,787674,525522,-1074869,-220364,-48116
Q3Y2013,36900,38900,708500,34100,405103.5,196057.9,189773.9,326998,71821.5,-1112126,1857048,816684,523883,-1112126,-222188,-50687
Q4Y2013,34000,29500,694900,43000,462947.6,196960.7,191054.6,328330.3,128711.2,-1142698,1858521,829385,527233,-1142698,-215397,-48854
Q1Y2014,34800,32200,691600,35600,396634.7,193361.408277455,189691.539254342,337632.6,55332.2,-1162574,1879051,841511,537319,-1162574,-216171,-55107
Q2Y2014,41900,40000,700800,30900,416337.9,199034.403535178,193993.372535162,333046.8,78250.1,-1158746,1908711,840298,561851,-1158746,-220502,-69896
Q3Y2014,43800,42300,709400,33700,423147.9,203500.389970436,198371.29766802,333251.3,84767.5,-1188359,1978573,870110,583436,-1188359,-227568,-74654
Q4Y2014,36500,33600,699900,43000,475123.7,212147.728958218,209408.987048348,337265.5,135119.5,-1188181,1997532,885218,571942,-1188181,-231212,-71436
Q1Y2015,38600,31800,700000,31700,414810.9,213195.080298,198815.9,344646.3,55785.4,-1160344,2017461,874108,597963,-1160344,-234499,-83003
Q2Y2015,48600,48500,716200,32300,434588.4,216169.93355,203916.8,339380.2,82955.1,-1159168,2040076,875631,585843,-1159168,-239564,-93900
Q3Y2015,51200,47700,726600,37400,440965.9,219485.746669,211946.1,344119.2,89307,-1141090,2030639,878526,583927,-1141090,-243831,-104618
Q4Y2015,50400,40300,720600,46400,510746.9,235337.431942,219867.8,352382.3,142895,-1117823,2012597,865672,597774,-1117823,-242442,-120928
Q1Y2016,42700,34300,717500,37400,430411.3,230538.6,212395.9,354473.3,57795.3,-1142481,2051127,908089,577931,-1142481,-249826,-126757
Q2Y2016,55600,52000,733200,36300,451043.3,244563.4,221696.2,348628.5,79547.6,-1135973,2126665,916187,605851,-1135973,-245094,-138772
Q3Y2016,56200,46800,741700,38300,455789.3,237032.5,225002.3,356458.3,87300.8,-1150328,2123537,925048,605490,-1150328,-241749,-138239
Q4Y2016,57000,40800,731200,51300,526242.9,255478.6,238287.4,366625.5,142426.2,-1145973,2175905,941649,604664,-1145973,-267332,-113707
Q1Y2017,60700,44200,734900,40500,458677.9,263926.7,245384.3,375757.5,64378,-1175177,2176529,970145,620345,-1175177,-256302,-126914
Q2Y2017,70600,61800,759000,37800,479296.2,264586.3,243600.8,369214.9,89095.8,-1209518,2169195,964336,635906,-1209518,-255057,-122511
Q3Y2017,59600,54800,767800,45900,491469.1,267281.8,247706.5,379964.9,91928.9,-1216744,2183879,978581,647031,-1216744,-257332,-127939
Q4Y2017,60000,45100,758900,54100,560391.4,281919.9,266055.1,393726.5,150800.1,-1217345,2171443,986849,640333,-1217345,-253992,-123665
Q1Y2018,66600,48000,762200,44600,488230,275811.9,261324.1,396598.5,77143.7,-1204463,2193967,1003367,635556,-1204463,-258489,-137499
Q2Y2018,65600,65700,789700,38200,509006,290913.1,270523.3,393147.1,95469.1,-1175591,2192264,998514,635191,-1175591,-260732,-141552
Q3Y2018,61800,60300,803100,47000,526563.4,292746.8,277607.7,406180.1,105244.2,-1198661,2206952,1020778,630029,-1198661,-246516,-143403
Q4Y2018,63600,47900,795700,55300,597755.6,312505.9,297547.1,420103.5,162693.3,-1185754,2212906,1020248,630850,-1185754,-248836,-133652
Q1Y2019,57300,53900,802200,47400,526340.7,309840.8,284337,422685.2,78151.7,-1190235,2229956,1055937,625582,-1190235,-255574,-139499
Q2Y2019,72300,61500,816600,47100,553235.5,313719.722,287918.5,421714.3,105720,-1185942,2224337,1051944,622120,-1185942,-252816,-138402
Q3Y2019,71800,63100,828400,51200,568172.8,316310.99847975,291126.5,436290,106698.3,-1158517,2270559,1066759,614487,-1158517,-263897,-141785
Q4Y2019,67400,58800,825600,61700,639989.3,330629.5,299441.9,447544,161257.7,-1131123,2236885,1060902,591542,-1131123,-263180,-144985
Q1Y2020,59400,52500,828500,49600,556426.7,319049.1,287082,445997.4,78464.2,-1074012,2238055,1073653,573905,-1074012,-272122,-131188
Q2Y2020,62900,47400,828200,47700,528177.5,274448,233651.6,401331,86050.1,-1041438,2207468,1077024,547334,-1041438,-262805,-147054
Q3Y2020,70100,67400,835900,59600,582494.9,326840,288269.7,456574.8,87349.8,-1032039,2244050,1091645,551424,-1032039,-274202,-152714
